"DivisionName","DistrictName","DivisionNumber","DistrictNumber"
"Anuradhapura West","Anuradhapura","Division - 125","District - 17"
"Kalawewa","Anuradhapura","Division - 126","District - 17"
"Mihintale","Anuradhapura","Division - 127","District - 17"
"Kekirawa","Anuradhapura","Division - 128","District - 17"
"Minneriya","Polonnaruwa","Division - 129","District - 18"
"Medirigiriya","Polonnaruwa","Division - 130","District - 18"
"Polonnaruwa","Polonnaruwa","Division - 131","District - 18"
"Mahiyanganaya","Badulla","Division - 132","District - 19"
"Wiyaluwa","Badulla","Division - 133","District - 19"
"Passara","Badulla","Division - 134","District - 19"
"Badulla","Badulla","Division - 135","District - 19"
"Hali Ela","Badulla","Division - 136","District - 19"
"Uva Paranagama","Badulla","Division - 137","District - 19"
"Welimada","Badulla","Division - 138","District - 19"
"Bandarawela","Badulla","Division - 139","District - 19"
"Haputale","Badulla","Division - 140","District - 19"
"Bibila","Monaragala","Division - 141","District - 20"
"Monaragala","Monaragala","Division - 142","District - 20"
"Wellawaya","Monaragala","Division - 143","District - 20"
"Eheliyagoda","Ratnapura","Division - 144","District - 21"
"Ratnapura","Ratnapura","Division - 145","District - 21"
"Pelmadulla","Ratnapura","Division - 146","District - 21"
"Balangoda","Ratnapura","Division - 147","District - 21"
"Rakwana","Ratnapura","Division - 148","District - 21"
"Nivithigala","Ratnapura","Division - 149","District - 21"
"Kalawana","Ratnapura","Division - 150","District - 21"
"Kolonna","Ratnapura","Division - 151","District - 21"
"Dedigama","Kegalle","Division - 152","District - 22"
"Galigamuwa","Kegalle","Division - 153","District - 22"
"Kegalle","Kegalle","Division - 154","District - 22"
"Rambukkana","Kegalle","Division - 155","District - 22"
"Mawanella","Kegalle","Division - 156","District - 22"
"Aranayake","Kegalle","Division - 157","District - 22"
"Yatiyantota","Kegalle","Division - 158","District - 22"
"Ruwanwella","Kegalle","Division - 159","District - 22"
"Deraniyagala","Kegalle","Division - 160","District - 22"
